   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.000    0.000    0.000    0.000 __init__.py:1210(_fixupParents)
        3    0.000    0.000    0.000    0.000 __init__.py:1234(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1251(Logger)
       35    0.000    0.000    0.000    0.000 __init__.py:1266(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1278(setLevel)
 36984969   20.712    0.000   71.297    0.000 __init__.py:1284(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:137(EventType)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.003    0.003 __init__.py:14(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:1454(addHandler)
        1    0.000    0.000    0.004    0.004 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
 36984969   22.302    0.000   22.302    0.000 __init__.py:1528(getEffectiveLevel)
        1    0.000    0.000    0.032    0.032 __init__.py:153(<module>)
 36984969   28.284    0.000   50.585    0.000 __init__.py:1542(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:1574(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1580(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1588(LoggerAdapter)
        1    0.000    0.000    0.001    0.001 __init__.py:16(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1686(CallWrapper)
        2    0.000    0.000    0.162    0.081 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1706(XView)
        1    0.000    0.000    0.000    0.000 __init__.py:1713(basicConfig)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1727(YView)
        1    0.000    0.000    0.000    0.000 __init__.py:1748(Wm)
